Title,Artist,Peak_Position,Song ID,Song Popularity,Acousticness,Danceability,Energy,Liveness,Speechiness,Valence,Tempo,Instrumentalness,Loudness,Date
"Courtesy Of The Red, White And Blue (The Angry American)",Toby Keith,25,393jZApUirv6iaFRjOk9AR,0.0,0.768,0.551,0.575,0.138,0.0317,0.75,125.164,0.925,-7.905,2002-06-05
Cowboys Are Frequently Secretly (Fond Of Each Other),Willie Nelson,52,5GRFyKCYXXXlImIY8zhBmV,22.0,0.539,0.624,0.47700000000000004,0.158,0.0289,0.608,94.404,0.000152,-7.561,2006-03-01
Cowboys Like Us,George Strait,38,5KqwjFgtkbfvjbpxemAxwx,0.0,0.294,0.42700000000000005,0.321,0.133,0.0306,0.10300000000000001,128.084,0.612,-9.782,2003-10-01
Crank That (Soulja Boy),Soulja Boy Tell'em,1,,,,,,,,,,,,2007-07-25
Crash Here Tonight,Toby Keith,96,67q5tDm6OzVwkwFOFNKMD6,0.0,0.428,0.42100000000000004,0.272,0.335,0.0351,0.0928,74.961,0.165,-17.01,2006-11-15
Crash,Gwen Stefani,49,6uTJOWqyYSOgrsEU6aLT7Z,0.0,0.00515,0.845,0.841,0.445,0.0336,0.883,126.22399999999999,1.35e-06,-6.335,2006-02-08
Crawling In The Dark,Hoobastank,68,3byxthBnF2EDgUYMN1yXeX,0.0,0.00011200000000000001,0.45899999999999996,0.63,0.174,0.0451,0.747,188.041,0.802,-12.759,2002-02-27
Crazy Bitch,Buckcherry,59,0wYs0vehoXDiLua6UhJdHZ,0.0,0.00135,0.6809999999999999,0.564,0.0581,0.0363,0.7759999999999999,97.984,0.192,-9.929,2006-05-17
Crazy Car,The Naked Brothers Band,83,,,,,,,,,,,,2007-02-14
Crazy In Love,Beyonce Featuring Jay Z,1,,,,,,,,,,,,2003-05-21
Crazy,Gnarls Barkley,2,71H2FLxSNbCmBCtDZ7pJgo,14.0,0.235,0.762,0.562,0.09699999999999999,0.0324,0.55,112.04799999999999,0.125,-7.525,2006-05-17
Crazy,Javier,95,2Uge4t8aVEWL0AdVZcErfo,0.0,0.0203,0.805,0.503,0.0826,0.12,0.7959999999999999,120.016,0.8290000000000001,-7.329,2003-08-13
Crowded,Jeannie Ortega Featuring Papoose,93,,,,,,,,,,,,2006-06-21
Crush Tonight,Fat Joe Featuring Ginuwine,77,,,,,,,,,,,,2002-10-16
Cry Baby/Piece Of My Heart,Melissa Etheridge & Joss Stone,32,,,,,,,,,,,,2005-03-30
Cry Me A River,Justin Timberlake,3,37IlsAgAvgnfo0C1vWTYf7,2.0,0.935,0.467,0.342,0.145,0.0303,0.386,135.625,0.0,-7.896,2002-12-18
Cry,Faith Hill,33,2RNSln1eE1NEMISWbDhGN0,20.0,0.0232,0.507,0.764,0.163,0.0318,0.336,141.878,0.0,-5.2139999999999995,2002-08-28
Crying Out For Me,Mario,33,2H2C768b49GMAm6rYngGf9,0.0,0.165,0.63,0.36200000000000004,0.27,0.0911,0.34600000000000003,130.721,0.0109,-14.561,2007-12-12
Culo,Pitbull Featuring Lil Jon,32,,,,,,,,,,,,2004-04-21
Cupid Shuffle,Cupid,66,1gjZz7XJraryAopcIYI58x,18.0,0.10300000000000001,0.883,0.633,0.0508,0.48700000000000004,0.8059999999999999,143.572,0.0,-8.229,2007-07-18
Cupid's Chokehold/Breakfast In America,Gym Class Heroes Featuring Patrick Stump,4,,,,,,,,,,,,2007-01-17
Customer,Raheem DeVaughn,76,2mfrAPU3bQiruAlLiYrWVo,26.0,0.556,0.738,0.574,0.345,0.0535,0.667,124.065,0.0,-7.211,2008-04-16
Cyclone,Baby Bash Featuring T-Pain,7,,,,,,,,,,,,2007-08-08
DJ Play A Love Song,Jamie Foxx Featuring Twista,45,,,,,,,,,,,,2006-05-03
DOA,Foo Fighters,68,7hdWEiojjwHxhD0n03gC8Z,0.0,6.22e-06,0.5670000000000001,0.6759999999999999,0.0357,0.0419,0.8490000000000001,146.046,0.898,-8.589,2005-11-09
Damaged,Danity Kane,10,31kaK1nL31sQjwEPFq4fCv,10.0,0.00213,0.826,0.785,0.126,0.10800000000000001,0.8909999999999999,124.991,0.000113,-6.524,2008-03-26
Damaged,TLC,53,4HcFwG1K4Yv40Vt7JDegup,0.0,0.0006929999999999999,0.47600000000000003,0.7490000000000001,0.0601,0.0668,0.539,189.93900000000002,0.0011300000000000001,-13.838,2003-03-26
Damn!,YoungBloodZ Featuring Lil Jon,4,,,,,,,,,,,,2003-08-06
Dance Like There's No Tomorrow,Paula Abdul & Randy Jackson,62,,,,,,,,,,,,2008-03-05
